threshold,accuracy,coverage
<<<<<<< HEAD
0.3,0.38308457711442784,0.4276595744680851
0.4,0.4496124031007752,0.274468085106383
0.5,0.5408163265306123,0.20851063829787234
0.6000000000000001,0.5611510791366906,0.1478723404255319
0.7000000000000002,0.6320754716981132,0.1127659574468085
0.8000000000000003,0.5882352941176471,0.07234042553191489
0.9000000000000001,0.28125,0.03404255319148936
=======
0.3,0.3826530612244898,0.41702127659574467
0.4,0.4521072796934866,0.2776595744680851
0.5,0.5422885572139303,0.21382978723404256
0.6000000000000001,0.5571428571428572,0.14893617021276595
0.7000000000000002,0.6355140186915887,0.11382978723404255
0.8000000000000003,0.5942028985507246,0.07340425531914893
0.9000000000000001,0.2727272727272727,0.035106382978723406
>>>>>>> bd1732c725b631d383f2df4032858ffff314ed78
