Feature,F_Score,Selected,Avg_Abs_Coefficient
currentRatio,6.263160374241193,True,12.273085107319199
quickRatio,1.3509441861192215,True,0.6182164010544512
cashRatio,8.692432015833246,True,3.1034715178583965
daysOfSalesOutstanding,2.0949924969037133,True,14.046639119213095
netProfitMargin,1.3862464052478394,True,12.888603411372614
pretaxProfitMargin,1.2451253028899782,True,28.288814735471096
grossProfitMargin,4.570590345603557,True,0.4479163879598831
assetTurnover,1.9033696626900687,True,2.824832362769937
fixedAssetTurnover,1.9026903748309407,True,6.6965755891138565
debtEquityRatio,3.2064737632267506,True,22.619311813380534
debtRatio,22.36965540523075,True,0.5223068521169086
companyEquityMultiplier,3.205953096832436,True,22.668950362921887
ebitPerRevenue,1.2451068763854989,True,29.322245012347757
enterpriseValueMultiple,2.950166331787146,True,0.15049678817873727
payablesTurnover,11.06682499722503,True,9.694143806716912
